total_fat_daily_percentage,saturated_fat_daily_percentage,cholesterol_daily_percentage,sodium_daily_percentage,carbohydrates_daily_percentage,dietary_fiber_daily_percentage,vitamin_a_daily_percentage,vitamin_c_daily_percentage,calcium_daily_percentage,iron_daily_percentage,item_id
20,25,87,31,10,17,10,0,25,15,1
12,15,8,32,10,17,6,0,25,8,2
35,42,15,33,10,17,8,0,25,10,3
43,52,95,36,10,17,15,0,30,15,4
35,42,16,37,10,17,6,0,25,10,5
36,46,100,40,10,18,15,2,30,20,6
40,65,83,54,13,7,10,8,15,15,7
47,68,83,59,14,12,15,8,20,20,8
32,56,11,54,12,7,2,8,15,10,9
38,59,11,59,14,12,6,8,15,15,10
42,62,10,45,11,6,0,0,6,15,11
48,65,10,50,13,11,4,0,8,15,12
50,71,83,49,12,6,6,0,10,20,13
57,74,83,53,14,11,10,0,10,20,14
42,62,11,49,11,6,0,0,8,15,15
49,65,11,54,13,11,4,0,8,15,16
31,41,10,49,14,6,0,2,6,15,17
37,45,10,54,15,11,4,2,8,15,18
49,78,93,61,13,8,10,2,20,25,19
32,44,84,52,16,9,10,10,20,15,20
24,34,11,52,16,9,2,10,15,10,21
34,40,11,43,15,8,0,0,8,10,22
48,61,89,55,16,9,10,0,20,15,23
40,52,17,55,15,9,2,0,20,10,24
48,56,92,62,19,11,20,15,20,20,25
39,45,20,62,18,12,10,15,20,15,26
53,63,99,63,19,12,20,4,25,25,27
73,87,185,65,17,12,15,2,15,25,28
80,90,185,70,19,17,15,2,15,30,29
57,69,12,66,17,12,0,2,10,15,30
63,72,12,71,18,17,4,2,10,15,31
87,96,192,90,37,23,15,2,25,40,32
93,100,192,94,39,28,15,2,30,40,33
70,78,19,91,37,23,0,2,25,30,34
77,81,19,95,38,28,4,2,25,30,35
13,9,7,24,20,10,0,0,15,15,36
37,36,17,39,20,10,0,0,15,15,37
25,33,38,33,9,5,10,2,15,15,38
14,6,0,13,5,6,0,2,0,2,39
30,43,5,15,22,11,4,0,6,15,40
6,8,2,7,19,19,2,130,10,10,41
6,8,2,5,16,22,2,130,6,10,42
42,48,28,40,16,13,6,2,25,25,43
41,61,31,46,14,11,10,2,30,25,44
45,63,34,60,16,12,6,15,25,30,45
48,64,35,49,15,14,8,20,25,30,46
42,54,28,40,15,13,10,8,25,30,47
