calories,calories_from_fat,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein,item_id
300.0,120.0,13.0,5.0,260.0,750.0,31.0,4.0,3.0,17.0,1
250.0,70.0,8.0,3.0,25.0,770.0,30.0,4.0,3.0,18.0,2
370.0,200.0,23.0,8.0,45.0,780.0,29.0,4.0,2.0,14.0,3
450.0,250.0,28.0,10.0,285.0,860.0,30.0,4.0,2.0,21.0,4
400.0,210.0,23.0,8.0,50.0,880.0,30.0,4.0,2.0,21.0,5
430.0,210.0,23.0,9.0,300.0,960.0,31.0,4.0,3.0,26.0,6
460.0,230.0,26.0,13.0,250.0,1300.0,38.0,2.0,3.0,19.0,7
520.0,270.0,30.0,14.0,250.0,1410.0,43.0,3.0,4.0,19.0,8
410.0,180.0,20.0,11.0,35.0,1300.0,36.0,2.0,3.0,20.0,9
470.0,220.0,25.0,12.0,35.0,1420.0,42.0,3.0,4.0,20.0,10
430.0,240.0,27.0,12.0,30.0,1080.0,34.0,2.0,2.0,11.0,11
480.0,280.0,31.0,13.0,30.0,1190.0,39.0,3.0,3.0,11.0,12
510.0,290.0,33.0,14.0,250.0,1170.0,36.0,2.0,2.0,18.0,13
570.0,330.0,37.0,15.0,250.0,1280.0,42.0,3.0,3.0,18.0,14
460.0,250.0,27.0,12.0,35.0,1180.0,34.0,2.0,3.0,18.0,15
520.0,280.0,32.0,13.0,35.0,1290.0,40.0,3.0,3.0,18.0,16
410.0,180.0,20.0,8.0,30.0,1180.0,41.0,2.0,3.0,17.0,17
470.0,220.0,24.0,9.0,30.0,1290.0,46.0,3.0,4.0,17.0,18
540.0,290.0,32.0,16.0,280.0,1470.0,38.0,2.0,3.0,25.0,19
460.0,190.0,21.0,9.0,250.0,1250.0,48.0,2.0,15.0,19.0,20
400.0,140.0,15.0,7.0,35.0,1250.0,47.0,2.0,16.0,20.0,21
420.0,200.0,22.0,8.0,35.0,1030.0,44.0,2.0,15.0,11.0,22
550.0,280.0,31.0,12.0,265.0,1320.0,48.0,2.0,15.0,20.0,23
500.0,230.0,26.0,10.0,50.0,1320.0,46.0,2.0,15.0,21.0,24
620.0,280.0,31.0,11.0,275.0,1480.0,57.0,3.0,7.0,30.0,25
570.0,230.0,25.0,9.0,60.0,1480.0,55.0,3.0,8.0,30.0,26
670.0,310.0,35.0,13.0,295.0,1510.0,56.0,3.0,7.0,33.0,27
740.0,430.0,48.0,17.0,555.0,1560.0,51.0,3.0,3.0,28.0,28
800.0,470.0,52.0,18.0,555.0,1680.0,56.0,4.0,3.0,28.0,29
640.0,330.0,37.0,14.0,35.0,1590.0,50.0,3.0,3.0,26.0,30
690.0,370.0,41.0,14.0,35.0,1700.0,55.0,4.0,4.0,26.0,31
1090.0,510.0,56.0,19.0,575.0,2150.0,111.0,6.0,17.0,36.0,32
1150.0,540.0,60.0,20.0,575.0,2260.0,116.0,7.0,17.0,36.0,33
990.0,410.0,46.0,16.0,55.0,2170.0,110.0,6.0,17.0,35.0,34
1050.0,450.0,50.0,16.0,55.0,2290.0,115.0,7.0,18.0,35.0,35
350.0,80.0,9.0,2.0,20.0,590.0,60.0,3.0,14.0,8.0,36
520.0,210.0,24.0,7.0,50.0,930.0,61.0,3.0,14.0,15.0,37
300.0,150.0,16.0,7.0,115.0,790.0,26.0,1.0,2.0,12.0,38
150.0,80.0,9.0,1.5,0.0,310.0,15.0,2.0,0.0,1.0,39
460.0,170.0,19.0,9.0,15.0,370.0,66.0,3.0,32.0,6.0,40
290.0,35.0,4.0,1.5,5.0,160.0,58.0,5.0,32.0,5.0,41
260.0,40.0,4.0,1.5,5.0,115.0,49.0,5.0,18.0,5.0,42
530.0,240.0,27.0,10.0,85.0,960.0,47.0,3.0,9.0,24.0,43
520.0,240.0,26.0,12.0,95.0,1100.0,41.0,3.0,10.0,30.0,44
600.0,260.0,29.0,13.0,105.0,1440.0,48.0,3.0,12.0,37.0,45
610.0,280.0,31.0,13.0,105.0,1180.0,46.0,3.0,10.0,37.0,46
540.0,250.0,27.0,11.0,85.0,960.0,45.0,3.0,9.0,29.0,47
750.0,380.0,43.0,19.0,160.0,1280.0,42.0,3.0,10.0,48.0,48
240.0,70.0,8.0,3.0,30.0,480.0,32.0,1.0,6.0,12.0,49
290.0,100.0,11.0,5.0,45.0,680.0,33.0,2.0,7.0,15.0,50
430.0,190.0,21.0,10.0,90.0,1040.0,35.0,2.0,7.0,24.0,51
720.0,360.0,40.0,15.0,115.0,1470.0,51.0,4.0,14.0,39.0,52
380.0,150.0,17.0,8.0,75.0,840.0,34.0,2.0,7.0,22.0,53
440.0,200.0,22.0,10.0,90.0,1110.0,35.0,2.0,7.0,27.0,54
430.0,200.0,22.0,9.0,80.0,760.0,34.0,2.0,7.0,22.0,55
430.0,210.0,23.0,9.0,80.0,1030.0,35.0,2.0,6.0,22.0,56
500.0,240.0,26.0,10.0,70.0,980.0,44.0,3.0,11.0,22.0,57
510.0,200.0,22.0,3.5,45.0,990.0,55.0,3.0,10.0,24.0,58
350.0,80.0,9.0,2.0,65.0,820.0,42.0,3.0,8.0,28.0,59
670.0,300.0,33.0,9.0,85.0,1410.0,58.0,3.0,11.0,36.0,60
510.0,180.0,20.0,7.0,105.0,1250.0,44.0,3.0,9.0,40.0,61
610.0,250.0,28.0,6.0,70.0,1400.0,57.0,3.0,11.0,32.0,62
450.0,130.0,15.0,4.5,90.0,1230.0,43.0,3.0,9.0,36.0,63
750.0,340.0,38.0,10.0,90.0,1720.0,65.0,4.0,16.0,36.0,64
590.0,230.0,25.0,8.0,110.0,1560.0,51.0,4.0,14.0,40.0,65
430.0,170.0,19.0,3.0,45.0,910.0,43.0,2.0,7.0,21.0,66
360.0,140.0,16.0,3.0,35.0,800.0,40.0,2.0,5.0,14.0,67
480.0,220.0,24.0,7.0,65.0,1260.0,43.0,2.0,6.0,22.0,68
430.0,190.0,21.0,5.0,50.0,1260.0,41.0,2.0,6.0,20.0,69
360.0,150.0,16.0,3.0,35.0,990.0,40.0,2.0,5.0,14.0,70
630.0,280.0,32.0,9.0,80.0,1540.0,56.0,3.0,7.0,32.0,71
480.0,170.0,19.0,7.0,95.0,1370.0,42.0,3.0,6.0,36.0,72
610.0,280.0,31.0,8.0,65.0,1340.0,56.0,3.0,8.0,27.0,73
450.0,160.0,18.0,6.0,80.0,1170.0,42.0,3.0,6.0,30.0,74
670.0,300.0,33.0,8.0,60.0,1480.0,68.0,5.0,12.0,27.0,75
520.0,180.0,20.0,6.0,80.0,1320.0,55.0,5.0,10.0,31.0,76
540.0,200.0,23.0,4.5,50.0,1260.0,61.0,3.0,14.0,23.0,77
380.0,90.0,10.0,3.0,65.0,1090.0,47.0,3.0,12.0,27.0,78
190.0,110.0,12.0,2.0,25.0,360.0,12.0,1.0,0.0,9.0,79
280.0,160.0,18.0,3.0,40.0,540.0,18.0,1.0,0.0,13.0,80
470.0,270.0,30.0,5.0,65.0,900.0,30.0,2.0,0.0,22.0,81
940.0,530.0,59.0,10.0,135.0,1800.0,59.0,3.0,0.0,44.0,82
1880.0,1060.0,118.0,20.0,265.0,3600.0,118.0,6.0,1.0,87.0,83
390.0,170.0,19.0,4.0,40.0,590.0,39.0,2.0,5.0,15.0,84
140.0,70.0,7.0,3.5,25.0,300.0,10.0,3.0,4.0,9.0,85
380.0,190.0,21.0,6.0,70.0,860.0,22.0,2.0,5.0,25.0,86
220.0,80.0,8.0,4.0,85.0,690.0,8.0,2.0,4.0,29.0,87
140.0,40.0,4.5,2.0,10.0,150.0,20.0,6.0,6.0,6.0,88
450.0,190.0,22.0,4.5,50.0,850.0,42.0,7.0,12.0,23.0,89
290.0,80.0,8.0,2.5,70.0,680.0,28.0,7.0,10.0,27.0,90
340.0,130.0,15.0,4.5,30.0,780.0,37.0,1.0,8.0,14.0,91
260.0,70.0,8.0,3.5,40.0,700.0,30.0,1.0,7.0,16.0,92
330.0,130.0,15.0,4.5,35.0,730.0,34.0,1.0,3.0,14.0,93
250.0,70.0,8.0,3.5,45.0,650.0,27.0,1.0,2.0,16.0,94
360.0,180.0,20.0,5.0,40.0,810.0,32.0,1.0,3.0,15.0,95
280.0,120.0,13.0,4.5,45.0,720.0,25.0,1.0,2.0,16.0,96
230.0,100.0,11.0,1.5,0.0,130.0,30.0,2.0,0.0,2.0,97
340.0,140.0,16.0,2.5,0.0,190.0,44.0,4.0,0.0,4.0,98
510.0,220.0,24.0,3.5,0.0,290.0,67.0,5.0,0.0,6.0,99
110.0,50.0,5.0,1.0,0.0,65.0,15.0,1.0,0.0,1.0,100
20.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,101
15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,102
150.0,20.0,2.0,1.0,5.0,70.0,30.0,1.0,23.0,4.0,103
250.0,110.0,13.0,7.0,0.0,170.0,32.0,4.0,13.0,2.0,104
160.0,70.0,8.0,3.5,10.0,90.0,21.0,1.0,15.0,2.0,105
150.0,50.0,6.0,2.5,10.0,135.0,22.0,1.0,13.0,2.0,106
45.0,10.0,1.5,1.0,5.0,20.0,7.0,0.0,6.0,1.0,107
330.0,80.0,9.0,7.0,25.0,170.0,53.0,1.0,48.0,8.0,108
340.0,70.0,8.0,5.0,30.0,150.0,60.0,0.0,43.0,7.0,109
280.0,60.0,6.0,4.0,25.0,85.0,49.0,0.0,45.0,6.0,110
140.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,111
200.0,0.0,0.0,0.0,0.0,5.0,55.0,0.0,55.0,0.0,112
280.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,76.0,0.0,113
100.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,114
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,115
0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,116
0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,117
0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,118
140.0,0.0,0.0,0.0,0.0,45.0,37.0,0.0,35.0,0.0,119
190.0,0.0,0.0,0.0,0.0,65.0,53.0,0.0,51.0,0.0,120
270.0,0.0,0.0,0.0,0.0,90.0,72.0,0.0,70.0,0.0,121
100.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,26.0,0.0,122
0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,123
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,124
0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,4.0,125
0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,126
140.0,0.0,0.0,0.0,0.0,30.0,37.0,0.0,37.0,0.0,127
200.0,0.0,0.0,0.0,0.0,45.0,54.0,0.0,54.0,0.0,128
280.0,0.0,0.0,0.0,0.0,60.0,74.0,0.0,74.0,0.0,129
100.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,27.0,0.0,130
100.0,20.0,2.5,1.5,10.0,125.0,12.0,0.0,12.0,8.0,131
130.0,0.0,0.0,0.0,5.0,135.0,23.0,1.0,22.0,9.0,132
80.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,19.0,0.0,133
150.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,30.0,2.0,134
190.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,39.0,3.0,135
280.0,0.0,0.0,0.0,0.0,5.0,65.0,0.0,58.0,4.0,136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,138
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,139
0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,140
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,141
150.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,36.0,1.0,142
180.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,45.0,1.0,143
220.0,0.0,0.0,0.0,0.0,10.0,54.0,0.0,54.0,1.0,144
110.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,27.0,0.0,145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148
170.0,80.0,9.0,5.0,25.0,115.0,15.0,1.0,12.0,9.0,149
210.0,90.0,10.0,6.0,30.0,140.0,18.0,1.0,15.0,11.0,150
280.0,120.0,14.0,8.0,40.0,180.0,24.0,1.0,20.0,15.0,151
270.0,80.0,9.0,5.0,25.0,115.0,40.0,1.0,38.0,9.0,152
340.0,90.0,10.0,6.0,30.0,140.0,50.0,1.0,48.0,11.0,153
430.0,120.0,14.0,8.0,40.0,180.0,62.0,1.0,59.0,15.0,154
270.0,80.0,9.0,5.0,25.0,115.0,40.0,1.0,38.0,9.0,155
330.0,90.0,10.0,6.0,30.0,140.0,50.0,1.0,47.0,11.0,156
430.0,120.0,14.0,8.0,40.0,180.0,62.0,1.0,58.0,15.0,157
260.0,80.0,9.0,5.0,25.0,115.0,38.0,1.0,36.0,9.0,158
330.0,90.0,10.0,6.0,30.0,140.0,48.0,1.0,45.0,11.0,159
420.0,120.0,14.0,8.0,40.0,190.0,60.0,1.0,56.0,15.0,160
210.0,80.0,9.0,5.0,25.0,150.0,24.0,1.0,12.0,9.0,161
260.0,90.0,10.0,6.0,30.0,190.0,29.0,1.0,15.0,12.0,162
330.0,120.0,14.0,8.0,40.0,240.0,37.0,2.0,20.0,15.0,163
100.0,0.0,0.0,0.0,5.0,110.0,15.0,1.0,13.0,10.0,164
130.0,0.0,0.0,0.0,5.0,135.0,19.0,1.0,16.0,12.0,165
170.0,0.0,0.5,0.0,10.0,180.0,25.0,1.0,21.0,16.0,166
200.0,0.0,0.0,0.0,5.0,110.0,41.0,1.0,39.0,10.0,167
250.0,0.0,0.0,0.0,5.0,135.0,51.0,1.0,48.0,12.0,168
310.0,0.0,0.5,0.0,10.0,180.0,63.0,1.0,59.0,16.0,169
200.0,0.0,0.0,0.0,5.0,110.0,40.0,1.0,38.0,10.0,170
250.0,0.0,0.0,0.0,5.0,135.0,51.0,1.0,48.0,12.0,171
310.0,0.0,0.5,0.0,10.0,180.0,63.0,1.0,59.0,16.0,172
190.0,0.0,0.0,0.0,5.0,115.0,39.0,1.0,37.0,10.0,173
240.0,0.0,0.0,0.0,5.0,140.0,49.0,1.0,46.0,12.0,174
300.0,0.0,0.5,0.0,10.0,180.0,60.0,1.0,56.0,16.0,175
140.0,0.0,0.0,0.0,5.0,150.0,24.0,1.0,13.0,10.0,176
170.0,0.0,0.0,0.0,5.0,180.0,30.0,1.0,16.0,12.0,177
220.0,0.0,0.5,0.0,10.0,240.0,38.0,2.0,21.0,16.0,178
340.0,100.0,11.0,7.0,35.0,150.0,49.0,2.0,42.0,10.0,179
410.0,120.0,14.0,8.0,40.0,190.0,60.0,2.0,53.0,13.0,180
500.0,150.0,17.0,10.0,50.0,240.0,72.0,2.0,63.0,16.0,181
270.0,30.0,3.5,2.0,15.0,150.0,49.0,2.0,43.0,11.0,182
330.0,30.0,3.5,2.0,15.0,190.0,60.0,2.0,53.0,13.0,183
390.0,35.0,4.0,2.5,20.0,240.0,73.0,2.0,64.0,17.0,184
320.0,100.0,11.0,7.0,35.0,170.0,45.0,1.0,40.0,10.0,185
390.0,120.0,14.0,8.0,40.0,220.0,55.0,1.0,50.0,12.0,186
480.0,150.0,17.0,10.0,50.0,270.0,66.0,1.0,60.0,16.0,187
250.0,30.0,3.5,2.0,15.0,170.0,45.0,1.0,41.0,10.0,188
310.0,30.0,3.5,2.0,15.0,210.0,56.0,1.0,51.0,13.0,189
370.0,35.0,3.5,2.5,20.0,270.0,67.0,1.0,61.0,17.0,190
360.0,120.0,13.0,8.0,40.0,180.0,50.0,1.0,45.0,11.0,191
440.0,140.0,16.0,9.0,50.0,220.0,61.0,1.0,56.0,14.0,192
540.0,180.0,20.0,12.0,60.0,280.0,73.0,1.0,68.0,17.0,193
280.0,30.0,3.5,2.0,15.0,180.0,50.0,1.0,46.0,12.0,194
340.0,30.0,3.5,2.0,15.0,220.0,61.0,1.0,57.0,14.0,195
400.0,35.0,3.5,2.5,20.0,280.0,74.0,1.0,69.0,19.0,196
140.0,40.0,4.5,3.0,15.0,35.0,23.0,0.0,22.0,1.0,197
190.0,60.0,7.0,4.5,25.0,50.0,31.0,0.0,30.0,1.0,198
270.0,80.0,9.0,6.0,35.0,75.0,47.0,0.0,45.0,2.0,199
130.0,40.0,4.5,3.0,15.0,35.0,22.0,0.0,21.0,1.0,200
180.0,60.0,7.0,4.5,25.0,50.0,29.0,0.0,28.0,1.0,201
260.0,80.0,9.0,6.0,35.0,65.0,43.0,0.0,42.0,2.0,202
130.0,40.0,4.5,3.0,15.0,35.0,21.0,0.0,20.0,1.0,203
180.0,60.0,7.0,4.5,25.0,50.0,29.0,0.0,28.0,1.0,204
250.0,80.0,9.0,6.0,35.0,75.0,43.0,0.0,41.0,2.0,205
120.0,40.0,4.5,3.0,15.0,40.0,20.0,0.0,19.0,1.0,206
170.0,60.0,7.0,4.5,25.0,55.0,27.0,0.0,26.0,1.0,207
240.0,80.0,9.0,6.0,35.0,80.0,41.0,0.0,39.0,2.0,208
80.0,40.0,4.5,3.0,15.0,65.0,9.0,0.0,1.0,1.0,209
120.0,60.0,7.0,4.5,25.0,90.0,12.0,0.0,2.0,1.0,210
160.0,80.0,9.0,6.0,35.0,135.0,18.0,0.0,2.0,2.0,211
290.0,100.0,11.0,7.0,35.0,125.0,41.0,1.0,34.0,8.0,212
350.0,110.0,13.0,8.0,40.0,150.0,50.0,1.0,43.0,9.0,213
480.0,150.0,16.0,10.0,50.0,220.0,70.0,2.0,62.0,14.0,214
240.0,45.0,5.0,3.0,20.0,125.0,41.0,1.0,35.0,8.0,215
290.0,45.0,5.0,3.5,20.0,150.0,50.0,1.0,43.0,10.0,216
390.0,50.0,6.0,3.5,25.0,220.0,71.0,2.0,62.0,14.0,217
280.0,100.0,11.0,7.0,35.0,140.0,38.0,0.0,33.0,8.0,218
340.0,110.0,13.0,7.0,40.0,170.0,46.0,1.0,41.0,9.0,219
460.0,150.0,16.0,10.0,50.0,250.0,65.0,1.0,59.0,13.0,220
230.0,45.0,5.0,3.0,20.0,140.0,38.0,0.0,33.0,8.0,221
270.0,45.0,5.0,3.0,20.0,170.0,47.0,1.0,41.0,10.0,222
370.0,50.0,6.0,3.5,25.0,250.0,65.0,1.0,59.0,14.0,223
450.0,160.0,18.0,12.0,65.0,125.0,65.0,1.0,57.0,7.0,224
550.0,200.0,22.0,14.0,75.0,160.0,80.0,1.0,71.0,9.0,225
670.0,240.0,26.0,17.0,90.0,190.0,98.0,1.0,88.0,11.0,226
450.0,170.0,19.0,12.0,65.0,125.0,64.0,0.0,57.0,7.0,227
550.0,200.0,23.0,15.0,80.0,160.0,79.0,0.0,71.0,9.0,228
670.0,250.0,27.0,17.0,95.0,190.0,96.0,0.0,88.0,11.0,229
530.0,200.0,23.0,14.0,65.0,135.0,76.0,1.0,67.0,8.0,230
630.0,240.0,26.0,17.0,80.0,160.0,91.0,1.0,81.0,9.0,231
760.0,280.0,31.0,20.0,95.0,200.0,111.0,1.0,99.0,12.0,232
220.0,5.0,0.5,0.0,5.0,40.0,50.0,3.0,44.0,2.0,233
260.0,5.0,1.0,0.0,5.0,50.0,62.0,4.0,54.0,3.0,234
340.0,10.0,1.0,0.5,5.0,65.0,79.0,5.0,70.0,4.0,235
210.0,5.0,0.5,0.0,5.0,50.0,47.0,3.0,44.0,3.0,236
250.0,5.0,1.0,0.0,5.0,60.0,58.0,3.0,54.0,4.0,237
330.0,10.0,1.0,0.5,5.0,80.0,74.0,4.0,70.0,5.0,238
210.0,5.0,0.5,0.0,5.0,40.0,50.0,1.0,46.0,2.0,239
260.0,10.0,1.0,0.0,5.0,45.0,61.0,1.0,56.0,3.0,240
340.0,10.0,1.0,0.5,5.0,60.0,78.0,2.0,72.0,4.0,241
530.0,140.0,15.0,10.0,60.0,160.0,86.0,0.0,63.0,11.0,242
660.0,170.0,19.0,12.0,75.0,200.0,109.0,0.0,81.0,14.0,243
820.0,210.0,23.0,15.0,90.0,260.0,135.0,0.0,101.0,18.0,244
550.0,150.0,16.0,10.0,60.0,160.0,90.0,0.0,79.0,12.0,245
690.0,180.0,20.0,13.0,75.0,210.0,114.0,0.0,100.0,15.0,246
850.0,210.0,24.0,15.0,90.0,260.0,140.0,0.0,123.0,18.0,247
560.0,150.0,16.0,10.0,60.0,240.0,91.0,1.0,77.0,12.0,248
700.0,180.0,20.0,12.0,75.0,300.0,114.0,2.0,97.0,15.0,249
850.0,210.0,23.0,15.0,85.0,380.0,141.0,2.0,120.0,19.0,250
660.0,170.0,19.0,12.0,75.0,210.0,109.0,0.0,93.0,14.0,251
820.0,210.0,23.0,15.0,90.0,260.0,135.0,0.0,115.0,18.0,252
650.0,210.0,23.0,14.0,50.0,180.0,96.0,1.0,89.0,13.0,253
930.0,290.0,33.0,20.0,75.0,260.0,139.0,2.0,128.0,20.0,254
430.0,140.0,15.0,10.0,35.0,120.0,64.0,1.0,59.0,9.0,255
510.0,150.0,17.0,9.0,45.0,280.0,80.0,1.0,64.0,12.0,256
690.0,200.0,23.0,12.0,55.0,380.0,106.0,1.0,85.0,15.0,257
340.0,100.0,11.0,6.0,30.0,190.0,53.0,1.0,43.0,8.0,258
